sell,experience,n.sheets,time,sex
539.3673702,4,30,day,female
300.2701851,4,27,day,female
512.1337386,5,21,day,female
801.6367894,8,56,day,female
570.4145302,3,27,day,female
781.2212694,8,42,day,female
758.2965734,9,50,day,female
701.7220915,6,43,day,female
452.545152,6,37,day,female
77.3006503,2,3,day,female
209.3612458,3,7,day,female
339.9078487,3,22,day,female
404.5863091,6,30,day,female
189.4218148,4,17,day,female
536.4077577,7,36,day,female
631.9161461,5,35,day,female
416.602507,6,31,day,female
917.8989889,11,62,day,female
140.5859996,4,18,day,female
784.4312836,7,49,day,female
1000.790152,9,58,day,female
494.7041009,3,23,day,female
711.4702731,6,42,day,female
38.02112098,3,15,day,female
348.2029504,4,20,day,female
345.6135603,4,20,day,female
84.65997142,1,8,day,female
512.0489471,4,33,day,female
738.5964046,8,55,day,female
307.9230774,4,16,day,female
552.2898985,5,39,day,female
323.0917815,5,32,day,female
473.2549244,5,34,day,female
331.4434929,3,13,day,female
626.5718635,7,44,day,female
508.2750042,6,29,day,female
634.658564,7,36,day,female
150.4398704,2,10,day,female
579.7677694,6,41,day,female
427.0304491,4,32,day,female
733.9589226,7,44,day,female
373.6542585,6,32,day,female
579.6210844,7,37,day,female
496.0500633,5,35,day,female
268.5110644,5,33,day,female
549.1149544,7,46,day,female
241.6019329,1,10,day,female
565.8721049,5,39,day,female
650.3283216,6,38,day,female
698.7474463,6,34,day,female
462.3881181,5,21,day,female
622.7268492,7,37,day,female
457.9962687,4,28,day,female
205.7201574,3,15,day,female
367.7891795,2,14,day,female
329.6234109,2,18,day,female
317.6423059,4,29,day,female
599.4357465,5,41,day,female
423.109018,6,41,day,female
310.4741154,4,22,day,female
415.767233,8,45,day,female
566.4002167,4,29,day,female
386.4456999,5,30,day,female
242.0021161,4,19,day,female
478.0681668,6,33,day,female
466.2218174,3,27,day,female
607.8340177,5,36,day,female
641.7951972,7,39,day,female
47.74573961,2,7,day,female
673.6708744,8,54,day,female
396.1277756,4,29,day,female
792.7914132,7,51,day,female
367.6918878,4,30,day,female
413.1159066,4,28,day,female
363.2337674,5,32,day,female
764.1690986,8,51,day,female
747.8855402,7,49,day,female
405.4124372,4,28,day,female
688.6089043,7,47,day,female
896.3552003,9,48,day,female
526.2586512,4,30,day,male
606.1431081,6,33,day,male
162.6793047,4,17,day,male
511.4341838,4,33,day,male
730.4825187,6,41,day,male
339.3478575,3,23,day,male
372.0639352,6,39,day,male
214.4845762,2,12,day,male
199.5044554,3,26,day,male
233.8829847,3,21,day,male
417.4004321,3,19,day,male
376.5636849,2,21,day,male
589.1668956,6,32,day,male
795.6604862,8,51,day,male
558.9841238,7,38,day,male
462.5687227,7,37,day,male
669.2913754,5,34,day,male
439.5010598,4,29,day,male
663.4871599,7,49,day,male
506.52231,5,28,day,male
972.4440958,6,31,night,female
1039.565477,4,30,night,female
789.7002696,4,30,night,female
1440.913218,11,72,night,female
973.3777968,6,41,night,female
482.4342577,3,8,night,female
693.3369054,3,22,night,female
715.4322547,5,23,night,female
1354.182041,8,54,night,female
