y,x1,x2
1,1.848822599,6.920055465
5,7.02374036,5.599569175
2,5.733263348,3.426912071
3,1.680519204,2.344975001
4,9.438393388,4.296027571
11,9.434749587,7.367006615
1,1.291589767,3.746568023
13,8.334488156,4.886791662
1,4.680185155,8.005117008
8,5.499837417,6.830429567
1,5.52674067,6.856852204
7,2.388947594,0.946481118
0,7.605133131,3.806896007
32,1.808201007,4.069725985
3,4.052821812,3.877852575
4,8.53548453,5.919270031
9,9.763984894,8.365646943
4,2.258254611,5.205144435
4,4.448092291,4.319862863
4,0.749794247,8.847294203
2,6.618987585,9.103661422
13,3.875495426,0.535400799
4,8.368891769,4.608238381
4,1.505014407,7.173280218
5,3.472722489,3.737280653
16,4.887732314,0.299089316
30,1.492468629,0.277631814
0,3.570625901,6.989543887
23,9.626440483,2.588025772
0,1.323720033,8.906808894
0,0.104145254,0.808410067
0,1.64642242,9.556385742
3,8.101921445,9.732692512
18,8.688610368,1.401576179
4,5.14281763,6.778059618
1,6.271962866,7.91197353
7,8.444290031,7.010555321
2,2.848705743,2.719518519
6,6.672256477,4.853655812
7,1.50469752,8.771352393
7,9.817278623,0.032624346
1,2.970107351,9.581222318
2,1.150840754,4.812065947
9,1.632008718,9.601525806
1,9.440418081,5.018895739
4,7.948638236,0.223518
3,9.746878976,1.102304007
0,3.490884106,7.47566106
0,5.019698809,5.990640323
16,8.103972627,7.804296839
2,0.071090381,9.457750916
3,0.14693911,3.578962591
6,6.834034228,4.858326011
12,9.297202218,5.264306115
2,2.754011985,8.483583757
4,8.118596955,5.011612524
2,7.858789128,3.445624516
14,9.889021555,5.828991362
10,6.139529096,5.268059592
0,7.101857301,9.069989934
4,7.700278566,9.791151749
3,8.869841571,0.146695876
8,6.251217297,7.419984532
0,2.603000354,4.774585811
1,8.590731178,8.996133558
19,4.37488002,3.121227825
77,3.881447576,2.649366823
5,4.615011052,5.518795266
4,2.186751934,9.115452541
4,0.659355104,1.074256653
1,2.757010267,9.527959772
5,3.103810975,5.808924597
4,0.42175526,8.795478605
2,1.846734632,8.067975438
9,1.833732282,5.024650213
0,7.554624164,8.360255226
5,2.880597322,9.041407586
9,8.678446624,0.025122992
9,4.02642736,4.629570101
20,5.726850035,1.938292491
3,3.50642575,1.295016964
9,6.719989283,1.326218017
2,0.250503565,7.215144502
9,4.011010379,5.884099689
1,1.999765299,5.355241615
2,8.565250009,7.570402054
4,9.715154285,4.078945203
9,3.237224368,0.872483056
1,7.331914334,9.315949962
6,3.400682402,7.231820789
4,9.767551846,3.61634498
2,3.970164119,4.387857837
2,3.799988793,6.622634544
5,5.603876302,0.320293659
9,4.638081791,0.179775136
0,1.967768266,7.391195833
15,4.269434027,0.852685273
2,0.930251875,2.3013455
0,1.153091269,2.468414707
3,4.400316542,0.269799228
0,2.009347295,3.751970187
8,4.276390728,0.885955051
0,9.805999817,3.761947241
2,8.289221255,2.248083146
2,2.86973855,8.117388792
12,5.959168968,1.415602642
9,8.989719462,0.296864905
22,4.533770003,2.248291567
6,1.474177793,7.679704402
0,1.286769826,6.377240308
0,0.246563377,7.853951284
2,7.363113749,3.336114266
4,3.733585645,5.772460499
6,5.743769405,2.546599563
0,8.253280134,8.215212501
1,8.136956738,2.696460173
4,8.726963403,8.927813654
1,1.105548996,6.651161169
5,9.527002368,2.478817103
1,5.690020809,9.835447962
3,0.368684707,6.968389412
2,2.452909164,6.669315717
6,9.788847992,3.198168203
2,8.857372324,3.443784241
7,2.409828978,3.078136027
15,7.572115702,0.247442864
4,5.628365187,0.241913337
1,3.051030952,8.10476661
11,6.936540869,2.845267917
1,3.359456039,2.259655413
0,2.061094444,6.82724308
5,9.192762559,3.799902697
0,0.228124498,8.882392987
9,9.637597445,6.469373424
5,3.158652436,5.46843179
0,6.656084175,6.65139395
23,5.335433034,5.352073957
3,8.177967195,1.748104033
2,1.852635099,4.204989977
7,3.995175515,4.919990285
5,1.784532603,3.090363902
0,2.854342107,9.097069527
0,6.294698271,8.620701942
2,3.001002816,2.773911194
1,4.436739616,8.216394
5,7.3020094,6.193923717
1,6.681635366,6.422776547
2,3.116570013,7.482602862
1,4.78578083,6.160596486
2,2.914101509,1.898876359
6,1.821742135,7.019261532
